iter	Passed	Remaining
0	85	58410
1	171	58475
2	253	57483
3	332	56410
4	404	54892
5	476	53776
6	559	54033
7	636	53713
8	711	53248
9	793	53418
10	871	53226
11	941	52670
12	1011	52135
13	1083	51796
14	1161	51741
15	1236	51550
16	1311	51369
17	1388	51286
18	1459	51021
19	1531	50753
20	1612	50842
21	1692	50860
22	1770	50795
23	1847	50735
24	1923	50621
25	1995	50430
26	2073	50372
27	2159	50525
28	2237	50461
29	2313	50366
30	2387	50224
31	2464	50127
32	2537	49986
33	2614	49914
34	2701	50019
35	2778	49928
36	2851	49778
37	2932	49780
38	3012	49745
39	3084	49584
40	3165	49571
41	3243	49496
42	3345	49787
43	3422	49704
44	3497	49587
45	3579	49574
46	3658	49505
47	3738	49453
48	3817	49393
49	3911	49515
50	3986	49395
51	4064	49318
52	4134	49144
53	4209	49037
54	4292	49006
55	4374	48983
56	4453	48906
57	4528	48799
58	4604	48698
59	4681	48609
60	4767	48608
61	4846	48539
62	4922	48438
63	4998	48345
64	5083	48331
65	5160	48243
66	5238	48163
67	5314	48063
68	5387	47941
69	5467	47877
70	5544	47791
71	5619	47683
72	5689	47543
73	5758	47387
74	5831	47271
75	5907	47185
76	5991	47151
77	6068	47069
78	6144	46980
79	6215	46847
80	6296	46799
81	6374	46717
82	6456	46676
83	6534	46596
84	6606	46476
85	6677	46353
86	6746	46219
87	6829	46177
88	6902	46066
89	6975	45960
90	7047	45848
91	7123	45758
92	7200	45678
93	7275	45587
94	7350	45493
95	7423	45393
96	7501	45316
97	7575	45220
98	7646	45108
99	7725	45040
100	7796	44926
101	7876	44863
102	7940	44713
103	8018	44641
104	8094	44555
105	8169	44469
106	8246	44393
107	8329	44348
108	8405	44261
109	8480	44173
110	8560	44115
111	8658	44140
112	8734	44061
113	8812	43985
114	8902	43970
115	8996	43972
116	9083	43942
117	9162	43872
118	9240	43796
119	9318	43718
120	9391	43617
121	9466	43530
122	9542	43445
123	9625	43391
124	9703	43318
125	9788	43272
126	9863	43182
127	9943	43114
128	10021	43037
129	10098	42957
130	10179	42892
131	10272	42880
132	10350	42801
133	10425	42713
134	10502	42634
135	10586	42580
136	10666	42508
137	10745	42435
138	10823	42360
139	10895	42260
140	10973	42180
141	11048	42093
142	11134	42046
143	11219	41997
144	11302	41936
145	11392	41901
146	11492	41905
147	11581	41865
148	11661	41792
149	11738	41711
150	11815	41629
151	11894	41553
152	11982	41509
153	12063	41440
154	12140	41356
155	12216	41269
156	12293	41188
157	12370	41103
158	12443	41008
159	12522	40933
160	12594	40833
161	12672	40755
162	12746	40663
163	12822	40578
164	12898	40493
165	12973	40405
166	13051	40326
167	13126	40239
168	13203	40158
169	13281	40078
170	13356	39991
171	13443	39940
172	13516	39847
173	13591	39760
174	13665	39669
